1,2,3,4,5,6,7,8,9,10,11,12,model_performance
0,1,1,0,0,1,0,1,1,1,0,1,0.463496161
0,0,0,1,1,1,1,0,1,1,1,1,0.842483352
0,0,0,1,0,1,0,1,1,1,0,1,0.732524137
1,0,1,1,1,0,0,1,1,1,0,1,0.918973647
0,0,0,0,1,1,1,1,1,0,0,0,0.464072107
1,1,0,0,1,1,1,0,0,1,1,1,0.481895715
1,0,0,1,0,0,0,0,0,1,1,1,0.751245225
0,0,1,1,1,0,0,0,1,0,0,0,0.913560141
0,0,0,1,0,1,0,1,0,0,1,0,0.725639587
1,1,1,1,0,0,1,0,0,1,1,1,0.833935266
1,0,0,1,0,0,0,0,1,0,1,0,0.750266895
0,1,1,1,1,1,1,0,1,1,1,0,0.920870424
1,0,0,0,0,0,1,0,0,0,1,0,0.349231477
1,0,0,0,1,0,0,1,0,1,0,1,0.477600406
1,1,1,0,1,1,0,0,1,0,1,1,0.563411485
1,0,1,0,0,1,0,0,0,1,1,1,0.462283805
0,0,1,1,0,1,0,0,1,1,1,1,0.816607639
1,1,0,0,0,1,0,0,0,0,0,0,0.360022773
1,1,0,1,1,1,0,0,1,1,1,0,0.856300647
0,0,0,1,0,1,1,1,1,1,0,1,0.735528882
1,0,1,1,0,1,1,1,0,0,1,1,0.827519714
0,1,0,1,0,0,0,1,1,0,0,1,0.744434204
1,1,1,0,1,0,1,1,1,0,1,1,0.562513631
1,0,0,0,1,1,1,1,1,1,0,1,0.476439274
0,0,0,0,1,0,0,0,0,1,0,1,0.46729765
1,1,0,0,0,0,0,0,0,0,1,0,0.359273693
1,0,1,1,1,1,1,1,1,1,1,0,0.918942931
1,0,1,0,0,0,0,0,0,0,0,1,0.462204463
0,1,0,1,0,1,0,1,0,1,0,1,0.745999272
1,0,0,1,1,1,0,1,1,0,0,1,0.846905852
1,1,0,0,1,1,1,1,1,0,0,1,0.481843878
1,0,1,0,0,0,1,1,1,1,0,1,0.460203204
0,0,0,0,0,0,0,0,0,1,1,0,0.318323582
0,1,0,1,1,1,0,0,0,0,0,0,0.851798648
1,1,1,0,0,0,0,1,0,1,0,0,0.470869671
0,1,1,1,0,0,1,0,0,0,1,1,0.825119955
0,1,1,0,1,0,0,0,0,0,0,0,0.557838602
0,1,0,0,0,1,1,0,0,0,1,1,0.352805124
0,1,1,0,1,0,1,1,0,1,0,1,0.558466813
1,0,1,1,0,0,0,1,1,1,1,0,0.827285353
0,1,0,0,0,0,0,0,1,0,1,1,0.353043494
1,1,0,0,0,0,0,1,0,1,0,1,0.361472394
0,1,1,0,0,1,1,1,0,0,0,0,0.461871045
1,0,0,0,0,1,0,0,0,0,1,0,0.354361623
0,1,1,0,0,1,1,0,0,0,0,0,0.462348739
1,0,1,1,0,0,1,1,0,0,1,0,0.827064047
1,0,1,1,0,1,1,0,0,0,1,1,0.827458657
1,0,0,1,1,0,1,1,1,0,0,1,0.847022932
1,0,1,1,1,1,1,0,0,1,1,0,0.918988134
1,0,1,0,0,0,1,0,0,1,0,0,0.460851917
1,0,0,1,1,1,1,0,0,0,0,0,0.846790428
0,1,1,1,0,0,0,0,1,1,1,0,0.825262199
0,0,1,1,1,0,0,1,1,0,0,1,0.913707287
0,0,0,1,1,0,0,1,0,1,0,1,0.842147351
1,0,1,0,0,0,1,1,1,1,0,0,0.458916508
0,0,0,1,1,1,1,1,1,1,1,1,0.842525576
